Usuario,Subforo,idHilo,Hilo,Etiqueta,NumComent,Comentario,Likes,Fecha
cabron,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,54,"
los otros comics que tenía (rompe techos, rue del percebe, botones sacarino, Pepe gotera) nunca me parecieron muy allá, ahora de Mortadelo y Filemón tengo recuerdos de verdaderas carcajadas. ",0,2023-07-15 17:19:00
JackWhy,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,55,"
Casi lo único que leía en mi infancia eran sus comics, RIP ",0,2023-07-15 17:20:00
palickpre,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,56,"
 ",94,2023-07-15 17:21:00
Ilikerain,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,57,"
No me lo puedo, ni quiero creer. Solo cabe darle las gracias por todo, los días de mierda superados gracias a sus cómics son incontables. Lo peor y más triste es que se ha ido sin un reconocimiento tipo princesa de Asturias, que injusto.
PD: ahora vendrá de buenas el asqueroso de Marc Bernabe con Ibáñez. ",0,2023-07-15 17:31:00
DaniRC1993,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,58,"
Esa paz de tardes de verano en la cama con un buen tomo de cómics de mortadelo, aunque ya los hubieras leido antes. DEP. ",1,2023-07-15 17:32:00
Albertsson,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,59,"
Joder vaya faena. Creci leyendo y viendo sus viñetas. Siempre en la memoria.
Un grande del comic Español! ",0,2023-07-15 17:33:00
22h30m,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,60,"
D. E. P.
Un artista icónico con el que hemos crecido y nos hemos echado muchas risas.
Gracias por todo. ",1,2023-07-15 17:34:00
Suwak0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,61,"
DEP, los comics de este hombre son una gran parte de mi infancia y la gran aventura de mortadelo y filemon para mi es de las mejores peliculas de humor españolas, siempre que la echan en algun momento en la tele termino viendola entera. Gracias por todo maestro
 ",2,2023-07-15 17:35:00
GrimMcSlam,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,62,"
Dep. ",0,2023-07-15 17:36:00
khaxal,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,63,"
Al menos hasta hace poco, aún con 80ypico años, seguía yendo a ferias a firmar tebeos, haciendo un dibujito en cada dedicatoria, con colas larguísimas. Un clásico de la Feria del Libro madrileña. Atesoro mi Mortadelo-araña.
 ",0,2023-07-15 17:40:00
_Akiles_,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,64,"
DEP.
Una parte de mi infancia, todavia me queda algun tebeo y superhumor, los guardo como oro en paño. ",0,2023-07-15 17:41:00
danix64,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,65,"
recuerdo que mi madre me compraba el “súper humor mortadelo “ que traía cinco o seis episodios y me los zampaba en un día …
una pena, gracias por todo Ibáñez , DEP ",0,2023-07-15 17:41:00
pIJAS,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,66,"
Tengo varias colecciones de mortadelo y filemón de los años 90 por ahí valdrán pasta ? están como nuevos. ",0,2023-07-15 17:42:00
zombietoads,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,67,"
Un grande. DEP. ",0,2023-07-15 17:44:00
texen,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,68,"
Dudo que exista alguien al que no le guste este hombre. Un ser único e irrepetible. DEP. ",3,2023-07-15 17:45:00
kreigon,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,69,"
Todo un grande, una pena que se nos haya ido. Aún recuerdo la ilusión con la que iba a que me firmase los Super Mortadelo y el dibujo que hacía en vez de sólo tirar una firma.
DEP. ",0,2023-07-15 17:48:00
Ilikerain,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,70,"
#68 Marc Bernabe xd ",0,2023-07-15 17:52:00
Ninja-Killer,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,71,"
Lo que he disfrutado leyendo a Mortadelo y Filemón, 13 Rue, etc... No tiene precio. Eternamente agradecido
DEP genio!! ",0,2023-07-15 17:55:00
Albertsson,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,72,"
Ibañez y sus historias me han hecho descojonarme literalmente.
Tengo una coleccion brutal de Mortadelos y cada situacion y estupidez era mas graciosa que la anterior.
El porfesor Bacterio, el Superintendente Vicente, Ofelia... menudos personajes xdd
Habia una serie, peliculas, comics, algun videojuego (uno de point&click)...
Tengo hasta un Mortadelo dedicado de uno de los años en la feria del libro.
 ",2,2023-07-15 17:56:00
Polakoooo,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,73,"
¿Ha tenido alguna vez la sensación de haber tirado la vida o de haberla gastado en el tablero de dibujo? No, todo lo que he hecho lo he hecho porque me gustaba y porque me di cuenta de que además le gustaba a mucha gente. Así que seguiré.
¿Hasta cuándo? Hasta cuando vaya a una sesión de firmas de esas y vea que en la cola hay tres personas. Llegará.
Pues no llegó. ",46,2023-07-15 17:57:00
Dusktilldawn,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,74,"
Vaya palo.. no tengo nada mas que palabras de agradecimiento para el. Los Mortadelos han sido una parte muy importante de mi vida durante muchísimo tiempo.
Solo tengo sentimientos de admiración y respeto para el.
Hiciste un mundo mejor cuando estabas vivo. En nombre de millones de personas te digo: gracias por todo, y descansa en paz. ",0,2023-07-15 17:57:00
HashAfgano,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,75,"

Para el universo cinematográfico tan bestial que tenemos, y nosotros que si el MCU.
DEP Grande. ",5,2023-07-15 17:58:00
bicho0,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,76,"
Ostia que pena me ha dado , toda la vida leyendo cómics ",0,2023-07-15 17:59:00
Mirtor,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,77,"
Un referente. Tenía sus problemas, y muchos de los cómics de Mortadelo que hemos leído ni siquiera eran suyos porque le hicieron bastantes mierdas desde la editorial, pero sin duda una parte importante de la historia del arte reciente en este país. Totalmente mi tipo de humor. Tengo un par de estanterías llenas con obras suyas, sobre todo Mortadelo y Filemón, pero también Pepe Gotera y Otilio, 13 Rue del Percebe (Inspiración clave para Aquí No Hay Quien Viva, era de los cómics que menos le gustaban a Ibáñez, pero su influencia es tremenda), Rompetechos...
Ahora todo el mundo querrá hacerle los homenajes que habría que haberle hecho en vida.
DEP. ",1,2023-07-15 17:59:00
SasSeR_18,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,78,"
No sabía ni leer y ya tenía comics de este señor entre mis manos, de hecho aún recuerdo cómo llegó a mis manos el primero ",0,2023-07-15 18:00:00
bagman,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,79,"
#37 weno... tengo entendido que desde hace 20-25 años sólo bocetaba la portada, el trabajo final y el interior lo hacía el equipo. Apenas veía y se le notaban los años. ",0,2023-07-15 18:00:00
Dase,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,80,"
media infancia KO, DEP ",0,2023-07-15 18:00:00
Kabraxis,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,81,"
DEP, se nos fue un grande.
#57 Ahora le darán todos los premios, como hacen siempre. ",1,2023-07-15 18:00:00
Ibaisito,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,82,"
Dep ",0,2023-07-15 18:01:00
solrac_91,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,83,"
DEP  ,  allá va gran parte de mi infancia ",0,2023-07-15 18:02:00
dranreb,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,84,"
#75 Película infravalorada ",2,2023-07-15 18:02:00
abath666,off-topic,701415,francisco-ibanez-autor-mortadelo-filemon-acaba-fallecer-,Noticia,85,"
Al final reconoció alguna vez a Juan Manuel Muñoz? ",0,2023-07-15 18:02:00
